specialty,uni_short,uni_full,bm_max,bm,applications
Економіка та міжнародні економічні відносини,Київська школа економіки,"Приватна установа ""Університет ""Київська школа економіки""",11,N/A,151
Журналістика,КПІ ім. Ігоря Сікорського,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,11,N/A,484
Аудіовізуальне мистецтво та медіавиробництво,КНУТКіТ імені І. К. Карпенка-Карого,"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",N/A,11,68
Фізика та астрономія,КНУТШ,Київський національний університет імені Тараса Шевченка,11,N/A,15
Фізика та астрономія,КНУТШ,Київський національний університет імені Тараса Шевченка,11,N/A,6
Науки про Землю,КНУТШ,Київський національний університет імені Тараса Шевченка,11,N/A,23
Науки про Землю,КНУТШ,Київський національний університет імені Тараса Шевченка,11,N/A,22
Науки про Землю,КНУТШ,Київський національний університет імені Тараса Шевченка,11,N/A,25
Енерговиробництво,КНУБА,Київський національний університет будівництва і архітектури,11,N/A,56
Перформативні мистецтва,КМАТ імені Сержа Лифаря,"Коледж хореографічного мистецтва ""Київська муніципальна академія танцю імені Сержа Лифаря""",N/A,11,13
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",10,N/A,12
Менеджмент,КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",10,N/A,469
"Електроніка, електронні комунікації, приладобудування та радіотехніка",КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",10,N/A,8
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",КАІ,"Державне некомерційне підприємство ""Державний університет ""Київський авіаційний інститут""",10,N/A,34
Електрична інженерія,БННППІ Каразінського університету,Бахмутський навчально-науковий професійно-педагогічний інститут Харківського національного університету імені В. Н. Каразіна,10,N/A,6
